temp_id,nmbr_f_,center_x,center_y,level
224,0,120.675,21.68750087,1
225,0,120.725,21.68750087,1
226,0,120.775,21.68750087,1
227,0,120.825,21.68750087,1
228,0,120.875,21.68750087,1
229,0,120.925,21.68750087,1
230,0,120.975,21.68750087,1
231,0,121.025,21.68750087,1
232,0,121.075,21.68750087,1
233,0,121.125,21.68750087,1
234,0,121.175,21.68750087,1
235,0,121.225,21.68750087,1
236,0,121.275,21.68750087,1
237,0,121.325,21.68750087,1
238,0,121.375,21.68750087,1
239,0,121.425,21.68750087,1
240,0,121.475,21.68750087,1
241,0,121.525,21.68750087,1
242,0,120.575,21.72916754,1
243,0,120.625,21.72916754,1
244,0,120.675,21.72916754,1
245,0,120.725,21.72916754,1
246,0,120.775,21.72916754,1
247,0,120.825,21.72916754,1
249,0,120.925,21.72916754,1
250,0,120.975,21.72916754,1
251,0,121.025,21.72916754,1
252,0,121.075,21.72916754,1
253,0,121.125,21.72916754,1
254,0,121.175,21.72916754,1
255,0,121.225,21.72916754,1
256,0,121.275,21.72916754,1
257,0,121.325,21.72916754,1
258,0,121.375,21.72916754,1
259,0,121.425,21.72916754,1
260,0,121.475,21.72916754,1
261,0,121.525,21.72916754,1
264,0,121.675,21.72916754,1
265,0,120.525,21.7708342,1
266,0,120.575,21.7708342,1
269,0,120.725,21.7708342,1
272,0,120.875,21.7708342,1
273,0,120.925,21.7708342,1
274,0,120.975,21.7708342,1
276,0,121.075,21.7708342,1
277,0,121.125,21.7708342,1
278,0,121.175,21.7708342,1
279,0,121.225,21.7708342,1
280,0,121.275,21.7708342,1
281,0,121.325,21.7708342,1
282,0,121.375,21.7708342,1
283,0,121.425,21.7708342,1
284,0,121.475,21.7708342,1
285,0,121.525,21.7708342,1
286,0,121.575,21.7708342,1
288,0,121.675,21.7708342,1
289,0,121.725,21.7708342,1
290,0,121.775,21.7708342,1
291,0,120.475,21.81250087,1
292,0,120.525,21.81250087,1
293,0,120.575,21.81250087,1
302,0,121.025,21.81250087,1
304,0,121.125,21.81250087,1
305,0,121.175,21.81250087,1
306,0,121.225,21.81250087,1
307,0,121.275,21.81250087,1
308,0,121.325,21.81250087,1
309,0,121.375,21.81250087,1
310,0,121.425,21.81250087,1
311,0,121.475,21.81250087,1
312,0,121.525,21.81250087,1
315,0,121.675,21.81250087,1
316,0,121.725,21.81250087,1
317,0,121.775,21.81250087,1
318,0,120.475,21.85416754,1
319,0,120.525,21.85416754,1
330,0,121.075,21.85416754,1
331,0,121.125,21.85416754,1
334,0,121.275,21.85416754,1
335,0,121.325,21.85416754,1
336,0,121.375,21.85416754,1
337,0,121.425,21.85416754,1
